date,code,open,high,low,close,pre_close,volume,amount,turnover,change_pct,MA5,MA10,MA20,MA60,MACD_DIF,MACD_DEA,MACD_HIST,MACD_golden_cross,MACD_death_cross,RSI,RSI_oversold,RSI_overbought,BB_MIDDLE,BB_UPPER,BB_LOWER,BB_WIDTH,BB_percent_b,BB_above_upper,BB_below_lower,BB_touch_upper,BB_touch_lower,KDJ_K,KDJ_D,KDJ_J,KDJ_golden_cross,KDJ_death_cross,KDJ_overbought,KDJ_oversold,KDJ_extreme_overbought,KDJ_extreme_oversold
2024-10-08,sh.601127,99.46,99.46,90.42,98.1,90.42,112033525,10845262403.48,7.4205,8.4937,98.1,98.1,98.1,98.1,0.0,0.0,0.0,False,False,,False,False,98.1,,,,,False,False,False,False,50.0,50.0,50.0,False,False,False,False,False,False
2024-10-09,sh.601127,95.0,95.0,89.0,89.02,98.1,82672314,7614250716.18,5.4758,-9.2559,93.56,93.56,93.56,93.56,-0.7243304843304941,-0.14486609686609883,-1.1589287749287904,False,True,0.0,True,False,93.56,106.4010591463477,80.7189408536523,0.27449891291893336,0.32322330470336286,False,False,False,False,33.39706819630336,44.46568939876778,11.25982579137451,False,True,False,False,False,False
2024-10-10,sh.601127,88.88,91.8,85.2,88.8,89.02,59308648,5269118984.03,3.9283,-0.2471,91.97333333333331,91.97333333333331,91.97333333333331,91.97333333333331,-1.3011212571326638,-0.37611712891941185,-1.850008256426504,False,False,0.0,True,False,91.97333333333331,102.58731153819757,81.35935512846906,0.23080555678887188,0.35051159555429373,False,False,False,False,30.679859395946036,39.87041273116053,12.298752725517048,False,False,False,False,False,False
2024-10-11,sh.601127,91.77,95.23,90.01,92.2,88.8,82503733,7653480519.71,5.4646,3.8288,92.03,92.03,92.03,92.03,-1.46697019585649,-0.5942877423068276,-1.745364907099325,False,False,29.737255461944912,True,False,92.03,100.69924064340894,83.36075935659106,0.18840031823120593,0.509804780314251,False,False,False,False,36.81602594605847,38.852283802793174,32.74351023258906,False,False,False,False,False,False
2024-10-14,sh.601127,92.09,93.49,89.1,93.0,92.2,61394042,5633765823.76,4.0664,0.8677,92.224,92.224,92.224,92.224,-1.5163735501745066,-0.7787049038803635,-1.4753372925882862,False,False,34.660721764267265,False,False,92.224,99.78174569564233,84.66625430435768,0.1638997591872468,0.5513380597370077,False,False,False,False,42.77683637170611,40.16046799243082,48.0095731302567,True,False,False,False,False,False
2024-10-15,sh.601127,91.45,95.0,89.88,89.89,93.0,56628457,5197636765.68,3.7508,-3.3441,90.582,91.835,91.835,91.835,-1.785890439737912,-0.9801420110518733,-1.6114968573720776,False,False,26.798973902557208,True,False,91.835,98.85834108526704,84.81165891473294,0.15295565057477103,0.3615331381185484,False,False,False,False,39.480957768140684,39.933964584334106,38.57494413575384,False,True,False,False,False,False
2024-10-16,sh.601127,89.89,92.0,89.2,91.4,89.89,43557287,3948137355.12,2.885,1.6798,91.05799999999999,91.77285714285713,91.77285714285713,91.77285714285713,-1.85624252768946,-1.1553621143793906,-1.401760826620139,False,False,34.56011019530732,False,False,91.77285714285713,98.19268802625497,85.3530262594593,0.13990696341521724,0.4709605167465264,False,False,False,False,40.81339213528221,40.227107101316804,41.985962203213006,True,False,False,False,False,False
2024-10-17,sh.601127,93.18,93.58,89.88,90.0,91.4,48845264,4454115588.01,3.2353,-1.5317,91.298,91.55125,91.55125,91.55125,-2.001888835598052,-1.324667458623123,-1.3544427539498582,False,False,31.25171233613915,False,False,91.55125,97.62562180761458,85.47687819238541,0.13269882841828118,0.3723118991452406,False,False,False,False,38.42912444362432,39.62777954875264,36.03181423336767,False,True,False,False,False,False
2024-10-18,sh.601127,86.88,92.5,86.14,90.82,90.0,70612852,6338935023.49,4.677,0.9111,91.022,91.47,91.47,91.47,-2.0277725373999687,-1.4652884743784922,-1.124968126042953,False,False,35.1665371394873,False,False,91.47,97.17292907197697,85.76707092802303,0.12469507099545135,0.44301174082683464,False,False,False,False,38.756396192897725,39.33731843013433,37.59455171842451,False,False,False,False,False,False
2024-10-21,sh.601127,89.96,92.5,89.38,90.38,90.82,61386594,5565519167.97,4.0659,-0.4845,90.498,91.361,91.361,91.361,-2.060042987103472,-1.5842393769234882,-0.9516072203599677,False,False,34.04621531944305,False,False,91.361,96.78178674076827,85.94021325923174,0.11866741258892227,0.40951497938277354,False,False,False,False,43.052619063792875,40.57575197468718,48.00635324200428,True,False,False,False,False,False
2024-10-22,sh.601127,89.55,92.8,89.5,91.42,90.38,60413951,5532747760.15,4.0015,1.1507,90.804,90.693,91.36636363636363,91.36636363636363,-1.9788868666477413,-1.6631688748683389,-0.6314359835588048,False,False,38.993370856726344,False,False,91.36636363636363,96.50909654972612,86.22363072300114,0.11257387749019916,0.5052147724313085,False,False,False,False,49.373065417736285,43.50818978903688,61.1028166751351,False,False,False,False,False,False
2024-10-23,sh.601127,92.44,100.56,90.78,100.56,91.42,78278083,7600542716.44,5.1847,9.9978,92.636,91.84700000000001,92.1325,92.1325,-1.163634785189302,-1.5632620569325317,0.7992545434864593,True,False,64.32207498172663,False,False,92.1325,99.35868030623244,84.90631969376754,0.15686495658388627,1.0831227317101015,True,False,False,False,66.24871027849085,51.08836328552153,96.56940426442948,False,False,False,False,False,False
2024-10-24,sh.601127,103.57,103.57,96.1,97.49,100.56,94225683,9358032862.91,6.241,-3.0529,94.13399999999999,92.71600000000001,92.54461538461538,92.54461538461538,-0.7565440115658504,-1.4019184478591955,1.2907488725866902,False,False,55.9234740231721,False,False,92.54461538461538,100.07441226272843,85.01481850650234,0.16272793067039532,0.8283876507850712,False,False,False,False,65.8716779557887,56.01613484227725,85.58276418281159,False,False,False,False,False,False
2024-10-25,sh.601127,99.3,99.82,95.5,96.38,97.49,58642683,5683610360.96,3.8842,-1.1386,95.24600000000001,93.13399999999999,92.81857142857143,92.81857142857143,-0.5175236731250976,-1.225039492912376,1.4150316395745568,False,False,53.217814033781735,False,False,92.81857142857143,100.33783840243103,85.29930445471183,0.16202074343809644,0.736820196956014,False,False,False,False,63.497546252415255,58.50993864565658,73.4727614659326,False,False,False,False,False,False
2024-10-28,sh.601127,96.38,103.0,95.8,102.47,96.38,84678794,8464633554.19,5.6087,6.3187,97.66400000000002,94.08099999999999,93.462,93.462,0.16145264529004066,-0.9477410652718927,2.2183874211238668,False,False,63.61806590520089,False,False,93.462,102.25636572877364,84.66763427122636,0.1881912590951112,1.0121460874959622,True,False,False,False,73.56137812888116,63.52708514006477,93.62996410651394,False,False,False,False,False,False
2024-10-29,sh.601127,102.47,112.57,100.07,109.2,102.47,112954133,12181816665.22,7.4815,6.5678,101.22,96.012,94.44562499999999,94.44562499999999,1.2284403290022965,-0.5125047864170549,3.4818902308387027,False,False,71.22987031929013,False,True,94.44562499999999,106.02603827702367,82.86521172297631,0.24522921579530405,1.1370400885982923,True,False,False,False,78.12403137713027,68.39273388575326,97.58662635988426,False,False,False,False,False,False
2024-10-30,sh.601127,106.91,110.28,106.18,109.46,109.2,69013583,7446632408.63,4.5711,0.2381,103.0,97.81800000000001,95.32882352941176,95.32882352941176,2.0711407612098753,0.004224323108331152,4.133832876203089,False,False,71.47813941226899,False,True,95.32882352941176,108.69920288519845,81.95844417362508,0.28051073874129,1.0284508425137644,True,False,False,False,81.4937104123484,72.75972606128497,98.96167911447529,False,False,True,False,False,False
2024-10-31,sh.601127,110.57,120.0,107.28,116.7,109.46,107111848,12199306063.64,7.0945,6.6143,106.84200000000001,100.488,96.51611111111112,96.51611111111112,3.2853232564014547,0.6604441097669559,5.2497582932689975,False,False,77.34166401871006,False,True,96.51611111111112,112.9400651222339,80.09215709998833,0.34033600861135466,1.1144649721747808,True,False,False,False,84.0700503554563,76.52983415934207,99.15048274768475,False,False,True,False,False,False
