user_id,action,feature,timestamp,count
user001,click_export,export,2026-04-01,5
user001,click_print,print,2026-04-01,3
user002,click_export,export,2026-04-01,2
user003,click_copy,copy,2026-04-02,8
user003,click_print,print,2026-04-02,4
user004,click_export,export,2026-04-02,1
user005,click_copy,copy,2026-04-03,6
user006,click_export,export,2026-04-03,3
user007,click_print,print,2026-04-04,2
user008,click_export,export,2026-04-04,4
user009,click_copy,copy,2026-04-05,5
user010,click_export,export,2026-04-05,2
user011,click_print,print,2026-04-06,3
user012,click_copy,copy,2026-04-06,7
user013,click_export,export,2026-04-07,1
user014,click_print,print,2026-04-07,2
user015,click_copy,copy,2026-04-08,4
