timestamp,entry_minute,time_left_min,regime,signal,model_up,model_down,mkt_up,mkt_down,edge_up,edge_down,recommendation
2026-02-03T16:46:28.362Z,1.463,13.528,TREND_DOWN,BUY DOWN,0.13926177777777776,0.8607382222222222,0.41,0.58,-0.2748796363636364,0.2748796363636363,DOWN:EARLY:STRONG
2026-02-03T16:46:29.693Z,1.490,13.505,TREND_DOWN,BUY DOWN,0.13986222222222222,0.8601377777777778,0.4,0.59,-0.26417818181818187,0.26417818181818187,DOWN:EARLY:STRONG
2026-02-03T16:46:31.026Z,1.512,13.483,TREND_DOWN,BUY DOWN,0.1404551111111111,0.8595448888888889,0.4,0.59,-0.263585292929293,0.263585292929293,DOWN:EARLY:STRONG
2026-02-03T16:46:32.332Z,1.534,13.461,TREND_DOWN,BUY DOWN,0.1410351111111111,0.8589648888888889,0.4,0.59,-0.263005292929293,0.263005292929293,DOWN:EARLY:STRONG
2026-02-03T17:02:29.598Z,2.482,12.507,TREND_DOWN,BUY DOWN,0.16647911111111108,0.833520888888889,0.52,0.47,-0.3587734141414142,0.3587734141414142,DOWN:EARLY:STRONG
2026-02-03T17:02:30.915Z,2.510,12.485,TREND_DOWN,BUY DOWN,0.167072,0.832928,0.53,0.46,-0.36828153535353536,0.3682815353535353,DOWN:EARLY:STRONG
2026-02-03T17:02:32.225Z,2.532,12.463,TREND_DOWN,BUY DOWN,0.1676542222222222,0.8323457777777779,0.53,0.46,-0.36769931313131315,0.36769931313131315,DOWN:EARLY:STRONG
2026-02-03T17:02:33.538Z,2.554,12.441,TREND_DOWN,BUY DOWN,0.16823777777777776,0.8317622222222223,0.53,0.46,-0.3671157575757576,0.3671157575757576,DOWN:EARLY:STRONG
2026-02-03T17:02:34.847Z,2.576,12.419,TREND_DOWN,BUY DOWN,0.16881999999999997,0.83118,0.52,0.47,-0.35643252525252533,0.3564325252525253,DOWN:EARLY:STRONG
2026-02-03T17:02:36.170Z,2.598,12.397,TREND_DOWN,BUY DOWN,0.16940755555555553,0.8305924444444445,0.52,0.47,-0.35584496969696977,0.3558449696969697,DOWN:EARLY:STRONG
2026-02-03T17:02:37.707Z,2.620,12.372,TREND_DOWN,BUY DOWN,0.17009111111111108,0.8299088888888889,0.52,0.47,-0.3551614141414142,0.35516141414141417,DOWN:EARLY:STRONG
2026-02-03T17:02:39.039Z,2.645,12.349,TREND_DOWN,BUY DOWN,0.1569611111111111,0.8430388888888889,0.51,0.48,-0.35819040404040403,0.35819040404040403,DOWN:EARLY:STRONG
2026-02-03T17:02:40.358Z,2.667,12.327,TREND_DOWN,BUY DOWN,0.15757222222222217,0.8424277777777778,0.5,0.49,-0.3474782828282829,0.3474782828282828,DOWN:EARLY:STRONG
2026-02-03T17:02:41.679Z,2.689,12.305,TREND_DOWN,BUY DOWN,0.15818287037037038,0.8418171296296296,0.48,0.51,-0.3266656144781145,0.3266656144781145,DOWN:EARLY:STRONG
2026-02-03T17:02:42.989Z,2.711,12.284,TREND_DOWN,BUY DOWN,0.1587898148148148,0.8412101851851852,0.48,0.51,-0.32605867003367006,0.32605867003367006,DOWN:EARLY:STRONG
2026-02-03T17:02:44.304Z,2.733,12.262,TREND_DOWN,BUY DOWN,0.15939907407407405,0.840600925925926,0.47,0.52,-0.3153484006734007,0.31534840067340064,DOWN:EARLY:STRONG
2026-02-03T17:02:45.624Z,2.755,12.240,TREND_DOWN,BUY DOWN,0.16000972222222226,0.8399902777777777,0.47,0.52,-0.3147377525252525,0.3147377525252524,DOWN:EARLY:STRONG
2026-02-03T17:02:46.947Z,2.777,12.218,TREND_DOWN,BUY DOWN,0.16062268518518513,0.8393773148148149,0.48,0.51,-0.32422579966329973,0.3242257996632998,DOWN:EARLY:STRONG
2026-02-03T17:19:59.554Z,4.982,10.008,TREND_DOWN,BUY DOWN,0.4332816666666667,0.5667183333333333,0.67,0.32,-0.24348601010101012,0.24348601010101006,DOWN:EARLY:STRONG
2026-02-03T17:20:01.197Z,5.009,9.980,TREND_DOWN,NO TRADE,0.4334661111111111,0.5665338888888889,0.67,0.32,-0.2433015656565657,0.24330156565656563,NO_TRADE
2026-02-03T17:20:02.643Z,5.037,9.956,TREND_DOWN,NO TRADE,0.4336266666666667,0.5663733333333333,0.67,0.32,-0.24314101010101008,0.24314101010101002,NO_TRADE
2026-02-03T17:20:04.051Z,5.061,9.933,TREND_DOWN,BUY DOWN,0.33445749999999996,0.6655425,0.64,0.34,-0.318603724489796,0.3186037244897959,DOWN:MID:STRONG
2026-02-03T17:20:05.666Z,5.084,9.906,TREND_DOWN,BUY DOWN,0.33490555555555557,0.6650944444444444,0.62,0.37,-0.29135707070707073,0.2913570707070707,DOWN:MID:STRONG
2026-02-03T17:28:09.168Z,13.143,1.848,TREND_DOWN,NO TRADE,0.47536622222222225,0.5246337777777778,0.9,0.09,-0.4337246868686869,0.4337246868686868,NO_TRADE
2026-02-03T17:28:10.485Z,13.170,1.825,TREND_DOWN,NO TRADE,0.47566244444444444,0.5243375555555556,0.9,0.09,-0.43342846464646473,0.4334284646464647,NO_TRADE
2026-02-03T17:28:11.801Z,13.192,1.803,TREND_DOWN,NO TRADE,0.4759551111111111,0.5240448888888889,0.91,0.08,-0.4432368080808081,0.44323680808080806,NO_TRADE
2026-02-03T17:28:13.114Z,13.213,1.781,TREND_DOWN,NO TRADE,0.4762471111111111,0.5237528888888889,0.91,0.08,-0.4429448080808081,0.4429448080808081,NO_TRADE
2026-02-03T17:36:27.828Z,6.455,8.537,TREND_DOWN,NO TRADE,0.27235999999999994,0.7276400000000001,0.35,0.64,-0.0811753535353536,0.08117535353535354,NO_TRADE
2026-02-03T17:36:29.177Z,6.481,8.514,TREND_DOWN,NO TRADE,0.2729662222222222,0.7270337777777778,0.35,0.64,-0.08056913131313131,0.08056913131313126,NO_TRADE
2026-02-03T17:36:30.487Z,6.503,8.492,TREND_DOWN,NO TRADE,0.27354888888888884,0.7264511111111112,0.35,0.64,-0.0799864646464647,0.07998646464646464,NO_TRADE
