ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
300157.SZ,300157,新锦动力,20260224,6.76,20.071,796281.124,796281124.0,7.96281124,509661.8899,5096618899.0,50.96618899,478489.4512,17.4157,20.9543,1.42,,,9.2307,,创业板,专用机械,2011-01-07
300164.SZ,300164,通源石油,20260224,12.82,20.0375,1183851.699,1183851699.0,11.83851699,754403.9624,7544039624.0,75.44039624,747676.2174,16.1324,18.1308,0.65,135.5701,5.179,6.3068,,创业板,石油开采,2011-01-13
300191.SZ,300191,潜能恒信,20260224,34.91,20.0069,1177508.954,1177508954.0,11.77508954,1117120.0,11171200000.0,111.712,772191.745,15.6783,20.258,1.96,,10.5192,22.9937,,创业板,石油开采,2011-03-16
300179.SZ,300179,四方达,20260224,24.06,20.0,1682887.579,1682887579.0,16.82887579,1168651.7756,11686517756.0,116.86517756,899800.3985,20.0522,25.7396,2.1,99.3684,9.801,22.2605,0.8269,创业板,矿物制品,2011-02-15
688260.SH,688260,昀冢科技,20260224,35.71,19.9933,519903.664,519903664.0,5.19903664,428520.0,4285200000.0,42.852,428520.0,12.4422,20.5718,5.84,,34.762,7.6417,,科创板,元器件,2021-04-06
300749.SZ,300749,顶固集创,20260224,34.39,19.993,1019771.26,1019771260.0,10.1977126,705577.5666,7055775666.0,70.55775666,541283.4684,19.1919,27.1704,0.9,,12.4401,6.8726,,创业板,家居用品,2018-09-25
301526.SZ,301526,国际复材,20260224,15.19,19.9842,3447520.525,3447520525.0,34.47520525,5727963.7549,57279637549.0,572.79637549,2133272.85,16.7278,21.8939,1.01,,6.9754,7.7806,,创业板,玻璃,2023-12-26
688028.SH,688028,沃尔德,20260224,102.5,19.186,1198959.627,1198959627.0,11.98959627,1547227.25,15472272500.0,154.722725,1547227.25,8.2707,13.4462,3.08,156.0089,7.8882,22.8021,0.3319,科创板,机械基件,2019-07-22
688179.SH,688179,阿拉丁,20260224,18.85,18.8525,642460.775,642460775.0,6.42460775,626964.1498,6269641498.0,62.69641498,626964.1498,10.7321,19.9735,5.43,63.4824,6.3218,11.7507,0.8807,科创板,化学制药,2020-10-26
300328.SZ,300328,宜安科技,20260224,18.62,17.9227,2485461.315,2485461315.0,24.85461315,1285568.7432,12855687432.0,128.55687432,1278014.842,19.9709,27.4174,9.36,12785.471,11.7377,7.7796,,创业板,小金属,2012-06-19
301291.SZ,301291,明阳电气,20260224,60.54,17.485,1975301.005,1975301005.0,19.75301005,1890058.8,18900588000.0,189.00588,978550.1256,21.0091,21.0091,2.55,28.5284,3.848,2.933,1.3049,创业板,电气设备,2023-06-30
688800.SH,688800,瑞可达,20260224,94.0,16.6253,1870251.405,1870251405.0,18.70251405,1933338.749,19333387490.0,193.3338749,1933338.749,10.073,16.8298,5.71,110.3066,8.4306,8.0066,0.2852,科创板,元器件,2021-07-22
300408.SZ,300408,三环集团,20260224,65.97,16.2057,3767509.11,3767509110.0,37.6750911,12643133.1565,126431331565.0,1264.31331565,12335123.4881,3.0825,4.7592,2.25,57.7194,6.0203,17.1433,0.5745,创业板,元器件,2014-12-03
300139.SZ,300139,晓程科技,20260224,65.75,15.1892,4195323.31,4195323309.9999995,41.9532331,1801550.0,18015500000.0,180.155,1536309.4044,27.7957,29.4578,1.67,386.9738,16.258,51.4698,,创业板,黄金,2010-11-12
301217.SZ,301217,铜冠铜箔,20260224,44.95,14.4931,2430120.325,2430120325.0,24.30120325,3726424.8703,37264248703.0,372.64248703,3726424.8703,6.6108,23.9306,1.13,,6.9073,7.8968,0.0443,创业板,元器件,2022-01-27
301071.SZ,301071,力量钻石,20260224,46.2,14.2999,1301575.203,1301575203.0,13.01575203,1202458.0861,12024580861.0,120.24580861,899025.0515,15.1518,21.1975,2.81,59.8759,2.2718,17.5229,0.3174,创业板,矿物制品,2021-09-24
300505.SZ,300505,川金诺,20260224,31.08,13.5965,1607567.39,1607567390.0,16.0756739,854288.2615,8542882615.0,85.42882615,675558.678,24.5955,26.8285,4.27,48.5237,3.0894,2.6634,0.9653,创业板,农药化肥,2016-03-15
300442.SZ,300442,润泽科技,20260224,86.8,13.4641,10503860.728,10503860728.0,105.03860728,14186102.2136,141861022136.0,1418.61022136,14134286.4155,7.2825,17.9339,1.56,79.2371,10.4733,32.5009,0.6076,创业板,软件服务,2015-04-24
300651.SZ,300651,金陵体育,20260224,30.12,13.2757,443833.115,443833115.0,4.43833115,425323.5803,4253235802.9999995,42.53235803,263348.2743,17.5906,22.5735,2.82,158.9333,3.93,11.3849,0.4541,创业板,文教休闲,2017-05-09
