ts_code,symbol,name,trade_date,close,pct_chg,amount,amount_yuan,amount_yi,total_mv,total_mv_yuan,total_mv_yi,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,pe,pb,ps,dv_ratio,market,industry,list_date
300251.SZ,300251,光线传媒,20260224,21.78,-19.9853,6598387.515,6598387515.0,65.98387515,6389355.6049,63893556049.0,638.93556049,6044744.9918,10.7621,21.8038,0.81,218.8017,5.9447,40.2974,0.9152,创业板,影视音像,2011-08-03
300528.SZ,300528,幸福蓝海,20260224,19.92,-18.9915,1030177.685,1030177685.0,10.30177685,742235.2436,7422352436.0,74.22352436,742235.2436,13.5181,34.188,0.82,,14.0461,11.3506,,创业板,影视音像,2016-08-08
300766.SZ,300766,每日互动,20260224,41.85,-16.8818,2921448.229,2921448229.0,29.21448229,1652027.733,16520277330.0,165.2027733,1499276.409,18.9626,20.4662,0.93,,10.5208,35.1224,,创业板,互联网,2019-03-25
688229.SH,688229,博睿数据,20260224,83.73,-15.4242,420159.611,420159611.0,4.20159611,371761.2,3717612000.0,37.17612,371761.2,10.7609,20.7667,1.2,,8.8827,26.4493,,科创板,软件服务,2020-08-17
688292.SH,688292,浩瀚深度,20260224,29.2,-14.0165,494637.047,494637047.0,4.94637047,462378.4026,4623784026.0,46.23784026,462378.4026,10.4719,18.4199,1.2,128.0113,4.5583,10.4545,0.4065,科创板,通信设备,2022-08-18
300520.SZ,300520,科大国创,20260224,44.48,-13.9818,2182136.07,2182136070.0,21.8213607,1298953.9681,12989539681.0,129.89539681,1236581.51,17.5757,22.3244,1.18,,7.341,6.8366,,创业板,软件服务,2016-07-08
300454.SZ,300454,深信服,20260224,126.99,-13.3233,2933586.115,2933586115.0,29.33586115,5341558.0198,53415580198.0,534.15580198,3518127.4424,8.1419,9.8369,1.64,271.3256,5.9527,7.1034,0.0492,创业板,软件服务,2018-05-16
688027.SH,688027,国盾量子,20260224,655.48,-13.0132,4075478.665,4075478665.0,40.75478665,6742332.8935,67423328935.0,674.23328935,5268379.2048,7.5031,9.8419,1.81,,20.9828,266.1073,,科创板,通信设备,2020-07-09
300369.SZ,300369,绿盟科技,20260224,9.52,-12.3389,1720443.754,1720443754.0,17.20443754,771712.0364,7717120364.0,77.17120364,769269.2435,21.914,29.3332,1.43,,3.1432,3.2727,,创业板,软件服务,2014-01-29
688262.SH,688262,国芯科技,20260224,39.9,-11.9011,1230675.716,1230675716.0,12.30675716,1340639.6529,13406396529.000002,134.06396529000003,1340639.6529,8.9957,12.1033,1.02,,6.5018,23.3479,,科创板,半导体,2022-01-06
